timesteps,reward_train,reward_ext,reward_intrinsic,reward_surprise,reward_dejavu,intrinsic_eta,intrinsic_volatility_factor,intrinsic_surprise_loss,intrinsic_dejavu_loss,intrinsic_warmup,episode_reward_mean,explained_variance,value_loss,entropy_loss,approx_kl
2860,0.1637641042470932,0.1637641042470932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2880,-0.05923968553543091,-0.05923968553543091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2900,0.19432862102985382,0.19432862102985382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2920,0.1181267499923706,0.1181267499923706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2940,0.587525486946106,0.587525486946106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2960,-0.7699218392372131,-0.7699218392372131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
2980,0.041693057864904404,0.041693057864904404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3000,0.4415972828865051,0.4415972828865051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3020,0.14462187886238098,0.14462187886238098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3040,-0.04300253093242645,-0.04300253093242645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3060,0.12502194941043854,0.12502194941043854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3080,-0.022153763100504875,-0.022153763100504875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3100,0.0674428716301918,0.0674428716301918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3120,0.20658253133296967,0.20658253133296967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3140,0.07848694920539856,0.07848694920539856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3160,0.01544674951583147,0.01544674951583147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3180,0.19689145684242249,0.19689145684242249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3200,0.11997269093990326,0.11997269093990326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3220,0.01130785420536995,0.01130785420536995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3240,-0.06062638759613037,-0.06062638759613037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3260,-0.1970297396183014,-0.1970297396183014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3280,0.19444720447063446,0.19444720447063446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3300,-0.021303709596395493,-0.021303709596395493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3320,0.04608961567282677,0.04608961567282677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3340,-0.11916983127593994,-0.11916983127593994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3360,-0.07016722857952118,-0.07016722857952118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3380,0.13533613085746765,0.13533613085746765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3400,0.04799078032374382,0.04799078032374382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3420,-0.013563179410994053,-0.013563179410994053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3440,0.1995568722486496,0.1995568722486496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3460,0.13941965997219086,0.13941965997219086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3480,0.10679124295711517,0.10679124295711517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3500,0.06976530700922012,0.06976530700922012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3520,-0.0028795539401471615,-0.0028795539401471615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3540,0.5994181632995605,0.5994181632995605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3560,-0.004904315806925297,-0.004904315806925297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3580,0.016346078366041183,0.016346078366041183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3600,-0.11573921144008636,-0.11573921144008636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3620,0.07745561003684998,0.07745561003684998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3640,0.04503338783979416,0.04503338783979416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3660,-0.02231898345053196,-0.02231898345053196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3680,-0.01696889102458954,-0.01696889102458954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3700,-0.03578329086303711,-0.03578329086303711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3720,-0.4886806011199951,-0.4886806011199951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3740,-0.2215411514043808,-0.2215411514043808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
3760,-0.04609827324748039,-0.04609827324748039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,-0.4591207504272461,0.2420214105397463,-7.099905008077622,0.006961468607187271
